,CO,C=O,CN,C=N,C#N
265,1,1,0,0,0
266,15,9,13,0,0
267,14,8,13,0,0
268,11,9,13,0,0
269,17,10,15,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,2,0,0
273,5,0,0,0,0
274,2,1,3,1,0
275,1,1,1,0,0
276,1,1,1,0,0
277,1,1,1,0,0
278,2,3,3,0,0
279,0,2,0,0,0
280,0,0,0,0,0
281,3,1,0,0,0
282,1,1,0,0,0
283,1,1,0,0,0
284,2,1,0,0,0
285,2,1,0,0,0
286,4,2,1,0,0
287,2,1,4,0,0
288,0,0,0,0,0
289,5,0,0,0,0
290,6,0,4,0,0
291,12,0,0,0,0
292,6,0,1,0,0
293,14,0,0,0,0
294,5,0,0,0,0
295,1,2,0,0,0
296,0,0,0,0,0
297,2,1,2,0,0
298,0,1,0,0,0
299,1,1,0,0,0
300,0,0,0,0,0
301,3,2,0,0,0
302,4,1,0,0,0
303,1,0,0,0,0
304,1,0,4,0,0
305,5,2,0,0,0
306,0,1,0,0,0
307,1,0,0,0,0
308,3,3,0,0,0
309,2,2,0,0,0
310,4,3,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,5,0,0,0,0
314,11,2,0,0,0
315,13,2,2,0,0
316,7,2,4,0,0
317,1,7,12,4,0
318,1,7,12,4,0
319,6,0,2,1,0
320,4,4,0,0,0
321,1,1,0,0,0
322,0,0,0,0,0
323,7,3,4,0,0
324,1,0,0,0,0
325,0,1,0,0,0
326,3,3,0,0,0
327,2,1,0,0,0
328,3,1,0,0,0
329,1,0,0,0,0
330,1,1,2,0,0
331,1,0,0,0,0
332,4,0,1,0,0
333,1,1,0,0,0
334,0,0,0,0,0
335,2,2,3,0,0
336,3,1,0,0,0
337,1,1,0,0,0
338,0,0,1,0,0
339,0,0,0,0,0
340,2,2,0,0,0
341,0,0,0,0,0
342,6,0,0,0,0
343,3,2,0,0,0
344,3,3,0,0,0
345,7,0,0,0,0
346,8,0,0,0,0
347,7,0,0,0,0
348,6,1,0,0,0
349,2,2,2,0,0
350,2,2,2,0,0
351,8,6,5,0,0
352,8,6,6,0,0
353,2,3,0,0,0
354,1,2,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,1,2,1,0,0
358,0,0,0,0,0
359,8,0,0,0,0
360,2,1,0,0,0
361,2,0,0,0,0
362,0,1,1,0,0
363,1,1,2,0,0
364,7,3,4,0,0
365,1,1,0,0,0
366,0,0,0,0,0
367,0,0,4,0,0
368,12,1,0,0,0
369,1,1,0,0,0
370,2,2,0,0,0
371,2,2,0,0,0
372,4,3,0,0,0
373,3,4,0,0,0
374,1,0,0,0,0
375,2,2,0,0,0
376,7,1,2,0,0
377,0,0,0,0,0
378,1,1,0,0,0
379,7,3,4,0,0
380,8,4,4,0,0
381,7,3,4,0,0
382,10,3,4,0,0
383,2,2,2,0,0
384,2,2,0,0,0
385,7,3,4,0,0
386,7,3,4,0,0
387,9,4,4,0,0
388,1,1,2,0,0
389,12,1,0,0,0
390,1,0,0,0,0
391,1,1,2,0,0
392,5,2,0,0,0
393,2,4,9,1,0
394,2,4,7,1,0
395,2,4,9,1,0
396,0,1,1,0,0
397,0,0,1,0,0
398,3,3,0,0,0
399,0,2,1,0,0
400,1,1,2,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,1,1,2,0,0
404,2,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,1,3,0,0
408,0,0,3,0,0
409,6,1,3,0,0
410,6,2,3,0,0
411,0,0,2,0,0
412,0,1,2,0,0
413,1,1,3,0,0
414,1,1,3,0,0
415,8,2,3,0,0
416,2,2,0,0,0
417,2,0,0,0,0
418,2,3,0,0,0
419,1,0,0,0,0
420,1,1,0,0,0
421,6,1,0,0,0
422,1,2,1,0,0
423,2,2,1,0,0
424,0,1,0,0,0
425,3,3,5,1,0
426,2,2,5,1,0
427,0,0,2,0,0
428,4,2,6,1,0
429,0,0,3,0,0
430,0,0,2,1,0
431,1,0,3,0,0
432,1,1,3,0,0
433,0,1,2,0,0
434,0,2,1,0,0
435,0,2,2,0,0
436,1,2,0,0,0
437,2,1,0,0,0
438,1,1,0,0,0
439,0,1,0,0,0
440,2,1,0,0,0
441,5,2,0,0,0
442,0,2,0,0,0
443,0,1,2,0,0
444,1,0,2,0,0
445,1,1,2,0,0
446,1,1,0,0,0
447,1,2,2,0,0
448,3,1,0,0,0
449,1,0,0,0,0
450,11,0,0,0,0
451,5,1,0,0,0
452,6,0,0,0,0
453,0,1,0,0,0
454,1,2,7,2,0
455,1,3,3,0,0
456,0,1,1,0,0
457,1,1,1,0,0
458,3,0,2,0,0
459,1,0,0,0,0
460,3,2,4,0,0
461,3,2,4,0,0
462,2,3,5,1,0
463,1,2,2,0,0
464,5,0,0,0,0
465,7,0,0,0,0
466,1,0,0,0,0
467,1,0,0,0,0
