,CID,smiles_repr,selfies_repr,h_acc,h_don,C,H,O,N,P,Cl,S,Se,As,Br,Ca,Co,Fe,Hg,I,K,Mg,Na,Ni,W,B,F,Si,Te,Al
0,1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][N+1][Branch1][C][C][Branch1][C][C][C],0,4,9,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,[C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][N+1][Branch1][C][C][Branch1][C][C][C],1,4,9,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,C1=CC(C(C(=C1)C(=O)O)O)O,[C][=C][C][Branch1][S][C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,CC(CN)O,[C][C][Branch1][Ring1][C][N][O],2,2,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,C(C(=O)COP(=O)(O)O)N,[C][Branch1][#C][C][=Branch1][C][=O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][N],3,6,3,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,[C][=C][C][=Branch2][Ring1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][Cl],0,4,6,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,CCN1C=NC2=C(N=CN=C21)N,[C][C][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N],1,4,7,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,CCC(C)(C(C(=O)O)O)O,[C][C][C][Branch1][C][C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,6,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,[C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][Branch1][=Branch2][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O],7,9,6,13,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,[C][C][Branch2][Ring1][Ring1][N][C][=C][Branch1][Ring2][N][Ring1][=Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][#Branch1][=O][N][C][N][Branch1][Ring1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],7,9,20,23,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,C(CCl)Cl,[C][Branch1][Ring1][C][Cl][Cl],0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,C1=C(C=C(C(=C1O)O)O)O,[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][O],4,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,C1=CC(=C(C=C1Cl)Cl)Cl,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O,[C][C][C][C][C][C][=Branch1][C][=O][C][=C][C][C][Branch2][Ring1][Ring2][C][C][=Branch1][C][=O][C][Ring1][=Branch1][C][C][C][C][C][C][C][=Branch1][C][=O][O][O],2,5,20,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,[C][C][C][C][C][=Branch1][C][=O][C][C][Ring1][#Branch1][C][C][C][C][Ring1][O][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][Branch1][O][C],1,2,19,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,C1CCC(=O)NCCCCCC(=O)NCC1,[C][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][Ring1][S],2,2,12,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,C1C=CC(=NC1C(=O)O)C(=O)O,[C][C][=C][C][=Branch1][#Branch2][=N][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],2,5,7,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,C(C(C(C(=O)C(=O)C(=O)O)O)O)O,[C][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][C][Branch1][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=Branch1][C][=O][O][O][O][O],4,7,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,C1=CC(=C(C(=C1)O)O)C(=O)O,[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][C][=Branch1][C][=O][O],3,4,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,C1=CC(=C(C(=C1)O)O)CCC(=O)O,[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][C][C][C][=Branch1][C][=O][O],3,4,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,CCC(C(=O)C)(C(=O)O)O,[C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O],2,4,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,CC(=O)C(C)(C(=O)O)O,[C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O],2,4,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,C(=CC(=C(C(=O)O)N)C(=O)O)C=O,[C][=Branch2][Ring1][Ring1][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][O][C][=O],3,6,7,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O,[C][Branch2][Ring2][=C][C][Branch2][Ring2][=Branch2][C][Branch2][Ring2][Ring2][C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch2][N][Branch2][Ring1][Branch1][C][C][Branch1][Branch1][N][Ring1][=Branch1][O][C][=Branch1][C][=O][N][C][=Branch1][Ring2][=N][Ring1][=Branch2][N][O][O][O][O][O][O],9,11,9,17,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O,[C][Branch2][Ring2][=Branch2][C][Branch2][Ring2][Ring2][C][Branch2][Ring1][#C][C][C][Branch2][Ring1][=Branch2][N][Branch2][Ring1][Ring2][C][=C][Branch1][Ring2][N][Ring1][=Branch1][C][=Branch1][C][=O][N][=C][Branch1][Ring2][N][Ring1][Branch2][N][O][O][O][O][O],8,8,9,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O,[C][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=N][C][C][Branch1][O][N][=C][Branch1][=Branch1][N][C][Ring1][=Branch1][=O][N][N][Branch1][Branch1][C][Ring1][N][O][O],4,8,9,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O,[C][Branch2][Ring2][Ring1][C][Branch2][Ring1][=C][C][Branch2][Ring1][=Branch2][C][=N][C][=C][Branch1][O][N][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][N][N][Branch1][Branch1][C][Ring1][N][O][O][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O],10,17,9,16,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
